"id","bucket","measure","avg","min","max"
"bst2000-201383","2022-08-02 08:30:00","pusher_right_motor_heat",27.33,27,28
"bst2000-201383","2022-08-02 08:30:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 08:30:00","slave_shaft_motor_heat",39.17,39,40
"bst2000-201383","2022-08-02 08:20:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 08:20:00","master_shaft_motor_heat",37.2,37,38
"bst2000-201383","2022-08-02 08:20:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 08:20:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 08:20:00","slave_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 08:20:00","slave_shaft_motor_heat",40.0,40,40
"bst2000-201383","2022-08-02 08:10:00","master_shaft_drive_heat",31.0,31,31
"bst2000-201383","2022-08-02 08:10:00","master_shaft_motor_heat",38.0,38,38
"bst2000-201383","2022-08-02 08:10:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 08:10:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 08:10:00","slave_shaft_drive_heat",32.8,32,33
"bst2000-201383","2022-08-02 08:10:00","slave_shaft_motor_heat",40.0,40,40
"bst2000-201383","2022-08-02 08:00:00","master_shaft_drive_heat",31.2,31,32
"bst2000-201383","2022-08-02 08:00:00","master_shaft_motor_heat",38.0,38,38
"bst2000-201383","2022-08-02 08:00:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 08:00:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 08:00:00","slave_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 08:00:00","slave_shaft_motor_heat",40.8,40,41
"bst2000-201383","2022-08-02 07:50:00","master_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 07:50:00","master_shaft_motor_heat",38.83,38,39
"bst2000-201383","2022-08-02 07:50:00","pusher_left_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 07:50:00","pusher_right_motor_heat",28.0,28,28
"bst2000-201383","2022-08-02 07:50:00","slave_shaft_drive_heat",33.0,33,33
"bst2000-201383","2022-08-02 07:50:00","slave_shaft_motor_heat",41.0,41,41
"bst2000-201383","2022-08-02 07:40:00","master_shaft_drive_heat",32.0,32,32
"bst2000-201383","2022-08-02 07:40:00","master_shaft_motor_heat",39.8,39,40
"bst2000-201383","2022-08-02 07:40:00","pusher_left_motor_heat",28.0,28,28
